id,name,debut,company_id,fanclub_name,active,type
1,100%,2012-09-18,827.0,Perfection,1,boy groups
2,(G)I-DLE,2018-05-02,188.0,,1,girl groups
3,14U,2017-04-17,102.0,,0,boy groups
4,15&,2012-10-05,439.0,,0,girl groups
5,1TEAM,2019-03-27,,,0,boy groups
6,1the9,2019-02-09,524.0,,1,boy groups
7,24K,2012-09-06,152.0,24U,1,boy groups
8,2AM,2008-06-21,439.0,I Am,0,boy groups
9,2EYES,2013-07-20,712.0,,0,girl groups
10,2NE1,2009-05-06,909.0,Blackjack,0,girl groups
11,2PM,2008-07-04,439.0,Hottest,1,boy groups
12,2Z,2020-01-14,,,1,boy groups
13,3YE,2019-05-21,307.0,,1,girl groups
14,4Minute,2009-06-15,188.0,4nia,0,girl groups
15,4TEN,2014-08-26,432.0,,0,girl groups
16,8Eight,2007-09-06,,Sweet Voice,0,boy groups
17,8TURN,2023-01-30,540.0,,1,boy groups
18,9Muses,2010-08-12,743.0,MINE,0,girl groups
19,A.C.E,2017-05-23,,Choice,1,boy groups
20,A.cian,2012-10-10,884.0,,0,boy groups
21,A.DE,2016-07-23,,,0,girl groups
22,A6P,2015-05-20,,,0,boy groups
23,AB6IX,2019-05-22,,ABNEW,1,boy groups
24,ABLUE,2022-10-23,410.0,BLUEVERY,1,boy groups
25,ABRY,2017-11-15,888.0,,1,girl groups
26,ADYA,2023-05-09,762.0,,1,girl groups
27,aespa,2020-11-17,720.0,My,1,girl groups
28,After School,2009-01-15,643.0,Playgirlz,0,girl groups
29,AIMERS,2022-11-17,369.0,AIMING,1,boy groups
30,AiRiSu,2018-07-25,,,0,girl groups
31,A-JAX,2012-06-01,,A-LIGHT,0,boy groups
32,ALICE,2017-07-01,,,1,girl groups
33,AlphaBat,2013-11-14,,,1,boy groups
34,AMPERS&ONE,2023-11-15,295.0,,1,boy groups
35,ANS,2019-09-16,53.0,,0,girl groups
36,ANTARES,2023-04-16,410.0,,1,boy groups
37,AOA,2012-07-30,295.0,ELVIS,1,girl groups
38,API,2019-04-19,,,1,girl groups
39,Apink,2011-04-19,639.0,Pink Panda,1,girl groups
40,Apple.B,2017-08-01,307.0,,0,girl groups
41,April,2015-08-24,,Fineapple,0,girl groups
42,AREAL,2020-08-21,440.0,,0,girl groups
43,ARGON,2019-03-11,554.0,A-Rang,1,boy groups
44,Ariaz,2019-10-23,670.0,,0,girl groups
45,ARTBEAT v,2022-11-16,28.0,,1,girl groups
46,ASTRO,2016-02-23,277.0,AROHA,1,boy groups
47,ATBO,2022-07-27,405.0,BOAT,1,boy groups
48,ATEEZ,2018-10-24,,,1,boy groups
49,AWEEK,2019-01-31,,,1,boy groups
50,B.A.P,2012-01-27,837.0,BABY,0,boy groups
51,B.Heart,2017-01-25,,,1,boy groups
52,B.I.G,2014-07-09,307.0,,1,boy groups
53,B.O.Y,2020-01-20,,,1,boy groups
54,B1A4,2010-04-19,891.0,BANA,1,boy groups
55,Baby V.O.X,1997-07-05,228.0,,0,girl groups
56,BABYMONSTER,2023-11-27,909.0,,1,girl groups
57,Badkiz,2014-03-24,931.0,,0,girl groups
58,BAE173,2020-11-19,,,1,boy groups
59,Be.A,2017-05-25,156.0,,1,boy groups
60,Beatwin,2014-01-06,,,0,boy groups
61,Berry Good,2014-05-21,,,0,girl groups
62,BESTie,2013-07-11,915.0,BESTiny,0,girl groups
63,BIGBANG,2006-08-19,909.0,VIP,1,boy groups
64,Bigflo,2014-07-19,,,1,boy groups
65,BIGSTAR,2012-07-12,131.0,,0,boy groups
66,Billlie,2021-11-10,,,1,girl groups
67,Black Level,2022-02-26,863.0,WE.B,0,boy groups
68,BLACK6IX,2017-04-07,115.0,,1,boy groups
69,BLACKPINK,2016-08-08,909.0,,1,girl groups
70,BlackSwan,2020-10-16,,,1,girl groups
71,Blady,2011-05-16,,Hi ade,0,girl groups
72,Blanc7,2017-03-03,416.0,Prism,0,boy groups
73,BLANK2Y,2022-05-24,450.0,,1,boy groups
74,Blastar,2020-07-31,,,0,girl groups
75,Bling Bling,2020-11-17,510.0,,1,girl groups
76,BLITZERS,2021-05-12,,,1,boy groups
77,BLK,2017-11-28,,,0,boy groups
78,Block B,2011-04-15,,BBC,1,boy groups
79,Bloomy,2016-02-01,,,1,girl groups
80,Bob Girls,2014-06-10,156.0,,0,girl groups
81,Bolbbalgan4,2016-04-22,707.0,,1,girl groups
82,Bonus Baby,2017-01-01,522.0,,0,girl groups
83,BOTOPASS,2020-08-26,890.0,,1,girl groups
84,Boyfriend,2011-05-26,760.0,Bestfriend,0,boy groups
85,BOYNEXTDOOR,2023-05-30,468.0,,1,boy groups
86,Boys Republic,2013-06-03,343.0,Royal Family,0,boy groups
87,Brave Girls,2011-04-08,131.0,,1,girl groups
88,Brown Eyed Girls,2006-03-02,,Everlasting,1,girl groups
89,BtoB,2012-03-21,188.0,Melody,1,boy groups
90,BTS,2013-06-13,,ARMY,1,boy groups
91,bugAboo,2021-10-25,21.0,,0,girl groups
92,Bulldok,2016-10-20,,,0,girl groups
93,Bunny.T,2023-06-19,,,1,girl groups
94,Busters,2017-11-27,429.0,Bu-Chu,1,girl groups
95,BVNDIT,2019-04-10,540.0,,1,girl groups
96,BXB,2023-01-30,892.0,,1,boy groups
97,BXK,2020-11-02,,,1,boy groups
98,Camila,2018-08-29,,,0,girl groups
99,Catch The Young,2023-11-01,,,1,boy groups
100,C-Clown,2012-06-19,,Crown,0,boy groups
101,Cherry Bullet,2019-01-21,295.0,,1,girl groups
102,Cherry On Top,2018-08-09,,,0,girl groups
103,ChoColat,2011-08-16,,Chocolatier,0,girl groups
104,CICI,2019-06-27,848.0,,0,boy groups
105,cignature,2020-02-04,143.0,,1,girl groups
106,Ciipher,2021-03-15,,,1,boy groups
107,CIX,2019-07-23,143.0,,1,boy groups
108,CLASS:y,2022-05-05,,,1,girl groups
109,CLC,2015-03-19,188.0,Chesire,0,girl groups
110,CMDM,2023-04-27,,,1,boy groups
111,CNBLUE,2010-01-14,295.0,Boice,1,boy groups
112,CoCoSoRi,2016-01-05,,,0,girl groups
113,CRAVITY,2020-04-14,760.0,,1,boy groups
114,CRAXY,2020-03-03,,,1,girl groups
115,Crayon Pop,2012-07-18,156.0,,0,girl groups
116,C-REAL,2011-10-11,,,0,girl groups
117,CROSS GENE,2012-07-08,967.0,Chromosome,1,boy groups
118,CSR,2022-07-27,27.0,Maeum,1,girl groups
119,D.COY,2020-02-19,,,1,boy groups
120,D.Holic,2014-10-29,,,0,girl groups
121,D1CE,2019-08-01,,Don1y,1,boy groups
122,Dal Shabet,2011-01-03,,Darling,0,girl groups
123,Dalmatian,2010-09-01,,Dalmate,0,boy groups
124,Davichi,2008-02-04,160.0,,1,girl groups
125,DAY6,2015-09-07,439.0,,1,boy groups
126,D-Crunch,2018-08-06,,,1,boy groups
127,Destiny,2018-09-28,,,1,girl groups
128,DIA,2015-07-14,524.0,AID,1,girl groups
129,DKB,2020-02-03,131.0,,1,boy groups
130,DONGKIZ,2019-04-24,219.0,,1,boy groups
131,Dorothy,2016-08-16,,,0,girl groups
132,DreamCatcher,2017-01-13,,,1,girl groups
133,Dreamnote,2018-11-07,,,1,girl groups
134,DRIPPIN,2020-10-26,893.0,,1,boy groups
135,D-Unit,2012-08-01,191.0,Unique,0,girl groups
136,Dustin,2020-01-06,,The Sten,1,boy groups
137,EL7Z UP,2023-09-14,,ELZ U,1,girl groups
138,E'LAST,2020-06-09,244.0,,1,boy groups
139,ENHYPEN,2020-11-30,,ENGENE,1,boy groups
140,ENOi,2019-04-19,459.0,,0,boy groups
141,EPEX,2021-06-08,143.0,ZENITH,1,boy groups
142,Episode,2020-02-04,650.0,,1,girl groups
143,Everglow,2019-03-18,,,1,girl groups
144,EVNNE,2023-09-19,420.0,,1,boy groups
145,EvoL,2012-08-10,750.0,Voller,0,girl groups
146,EXID,2012-02-16,,LEGO,0,girl groups
147,EXO,2012-04-08,720.0,EXO-L,1,boy groups
148,f(x),2009-09-05,720.0,MeU,0,girl groups
149,F.able,2020-06-04,,,1,boy groups
150,FANATICS,2019-08-06,284.0,,1,girl groups
151,Fantasy Boys,2023-09-21,,Bandi,1,boy groups
152,Favorite,2017-07-05,70.0,,1,girl groups
153,Fiestar,2012-08-31,,Let's,0,girl groups
154,FIFTY FIFTY,2022-11-18,76.0,Hunnies,1,girl groups
155,FLAVOR,2018-11-26,284.0,,0,girl groups
156,Fly to the Sky,1999-11-21,720.0,Fly High,1,boy groups
157,fromis_9,2018-01-24,604.0,,1,girl groups
158,FTISLAND,2007-06-07,295.0,Primadonna,1,boy groups
159,F-ve Dolls,2011-01-20,524.0,,0,girl groups
160,g.o.d.,1999-01-26,439.0,Fan God,1,boy groups
161,Gavy NJ,2005-11-11,323.0,,1,girl groups
162,Gawi Bawi Bo,2018-05-01,,,1,girl groups
163,GeeGu,2017-10-26,,,0,girl groups
164,Geenius,2024-01-05,359.0,,1,girl groups
165,Gfriend,2015-01-15,,Buddy,0,girl groups
166,Ghost9,2020-09-23,522.0,,1,boy groups
167,GI,2013-04-03,,,0,girl groups
168,Girlkind,2018-01-16,585.0,,1,girl groups
169,Girl's Day,2010-07-09,234.0,Dai5y,0,girl groups
170,Girls' Generation,2007-08-05,720.0,SONE,1,girl groups
171,Girls Girls,2015-12-09,,,0,girl groups
172,Girls' World,2002-06-20,488.0,Sweipi,1,girl groups
173,GLAM,2012-07-16,,,0,girl groups
174,Golden Child,2017-08-28,893.0,,1,boy groups
175,Good Day,2017-08-30,143.0,,0,girl groups
176,GOT7,2014-01-16,439.0,I GOT7,0,boy groups
177,GP Basic,2011-03-18,,Spade,0,girl groups
178,GreatGuys,2017-08-25,217.0,Grace,1,boy groups
179,G-reyish,2017-06-01,,,0,girl groups
180,GsA,2017-05-25,677.0,,1,girl groups
181,Gugudan,2016-06-28,420.0,,0,girl groups
182,GWSN,2018-09-05,460.0,Groo,1,girl groups
183,H.B.Y,2017-08-16,,,1,boy groups
184,H.O.T,1996-09-07,720.0,Club H.O.T,0,boy groups
185,H.U.B,2017-02-09,,,0,girl groups
186,H1-KEY,2022-01-05,,,1,girl groups
187,HALO,2014-07-26,,,1,boy groups
188,Hash Tag,2017-10-11,,,1,girl groups
189,HAWW,2023-02-23,112.0,,1,boy groups
190,Hello Venus,2012-05-09,277.0,Hello Cupid,0,girl groups
191,Heygirls,2017-11-20,541.0,,1,girl groups
192,Hi Cutie,2017-10-12,,,1,girl groups
193,HIGH4,2014-04-08,,,0,boy groups
194,Highlight,2009-10-14,64.0,B2uty,1,boy groups
195,HighSchool,2019-04-30,669.0,High Class,0,girl groups
196,Highteen,2016-10-14,,,0,girl groups
197,Hi-L,2021-08-11,,,1,girl groups
198,Hinapia,2019-11-03,,,0,girl groups
199,Hint,2017-03-31,758.0,,1,girl groups
200,HISTORY,2013-04-26,,Storia,0,boy groups
201,Homme,2010-06-28,,,0,boy groups
202,Honey Popcorn,2018-03-21,474.0,,0,girl groups
203,Honeyst,2017-05-17,295.0,,1,boy groups
204,Hotshot,2014-10-29,742.0,,0,boy groups
205,I.C.E,2015-11-16,,,1,girl groups
206,ICHILLIN',2021-09-08,463.0,,1,girl groups
207,ICU,2019-10-22,488.0,,1,girl groups
208,iKON,2015-09-15,909.0,iKONIC,1,boy groups
209,I'LL-IT,1969-12-31,,,1,girl groups
210,ILUV,2019-04-30,890.0,,0,girl groups
211,ILY:1,2022-04-04,281.0,,1,girl groups
212,Imfact,2016-01-27,743.0,,1,boy groups
213,Infinite,2010-06-09,893.0,Inspirit,1,boy groups
214,INX,2016-08-02,,,0,boy groups
215,IOI,2016-05-04,914.0,,0,girl groups
216,IRRIS,2022-07-06,530.0,,1,girl groups
217,ITZY,2019-02-12,439.0,Mitzy,1,girl groups
218,IVE,2021-12-01,760.0,DIVE,1,girl groups
219,IZ,2017-08-31,,,1,boy groups
220,IZ*ONE,2018-10-29,604.0,,0,girl groups
221,JBJ,2017-10-18,279.0,,0,boy groups
222,JBJ95,2018-10-30,366.0,,1,boy groups
223,Jewelry,2001-03-30,743.0,,0,girl groups
224,JJCC,2014-03-13,,,0,boy groups
225,JUST B,2021-06-30,123.0,ONLY B,1,boy groups
226,Jwiiver,2022-02-17,429.0,,0,boy groups
227,JYJ,2010-09-08,141.0,Cassiopeia,1,boy groups
228,KARA,2007-03-29,,Kamilia,1,girl groups
229,KEEMBO,2020-04-10,,,1,girl groups
230,Kep1er,2022-03-01,,,1,girl groups
231,KHAN,2018-05-23,522.0,,0,girl groups
232,Kingdom,2021-02-18,304.0,Kingmakers,1,boy groups
233,KISS OF LIFE,2023-06-05,685.0,KISSY,1,girl groups
234,Kitten Girls,2018-09-04,866.0,,0,girl groups
235,K-Much,2014-01-07,156.0,,0,boy groups
236,KNK,2016-03-03,915.0,Tinker Bell,1,boy groups
237,Laboum,2014-08-27,,Latte,1,girl groups
238,Ladies' Code,2013-03-07,648.0,Lavely,0,girl groups
239,Lapillus,2022-06-22,538.0,LAPIS,1,girl groups
240,LE SSERAFIM,2022-05-02,,FEARNOT,1,girl groups
241,LIGHTSUM,2021-06-10,188.0,SUMIT,1,girl groups
242,LIMELIGHT,2023-02-17,,,1,girl groups
243,Limitless,2019-07-09,611.0,,1,boy groups
244,LipBubble,2017-03-22,,,0,girl groups
245,Loona,2018-08-20,,,1,girl groups
246,Loossemble,2023-09-15,185.0,C.Loo,1,girl groups
247,Lovelyz,2014-11-17,893.0,Lovelinus,0,girl groups
248,LU:KUS,2014-07-04,437.0,,1,boy groups
249,Lucente,2018-09-18,591.0,,1,boy groups
250,LUMINOUS,2021-09-09,,,1,boy groups
251,LUN8,2023-06-15,277.0,,1,boy groups
252,LUNARSOLAR,2020-09-02,,Haedal,0,girl groups
253,Lusty,2019-06-26,84.0,,1,girl groups
254,M.I.B,2011-10-26,432.0,,0,boy groups
255,M.O.N.T,2019-01-04,292.0,,1,boy groups
256,Madtown,2014-10-06,317.0,,0,boy groups
257,MAJORS,2021-03-09,53.0,MVP,1,girl groups
258,Maka Maka,2020-08-04,235.0,,1,girl groups
259,Mamamoo,2014-06-18,663.0,Moomoo,1,girl groups
260,MAP6,2015-11-10,234.0,,1,boy groups
261,Marmello,2017-05-24,,,0,girl groups
262,Masc,2016-08-19,,,1,boy groups
263,Matilda,2016-03-18,,,0,girl groups
264,MBLAQ,2009-10-14,413.0,A+,1,boy groups
265,MCND,2020-02-27,827.0,,1,boy groups
266,Melody Day,2014-02-25,180.0,,0,girl groups
267,Melody Pink,2019-09-25,448.0,,1,girl groups
268,Mfect,2015-04-27,,,1,boy groups
269,mimiirose,2022-09-16,908.0,bloomii,1,girl groups
270,Minx,2014-09-18,,,0,girl groups
271,MIRAE,2021-03-17,,,1,boy groups
272,miss A,2010-07-01,439.0,Say A,0,girl groups
273,Mixx,2016-05-02,,,0,girl groups
274,Momoland,2016-11-09,,,1,girl groups
275,MONSTA X,2014-05-14,760.0,Monbebe,1,boy groups
276,MR.MR,2012-10-04,,,1,boy groups
277,MustB,2019-01-21,562.0,,1,boy groups
278,MVP,2017-03-13,,,1,boy groups
279,MXM,2017-09-06,,,1,boy groups
280,MY.st,2020-03-26,,,0,boy groups
281,myB,2015-08-25,522.0,,0,girl groups
282,MYNAME,2011-10-27,,MYgirl,1,boy groups
283,Myteen,2017-07-26,806.0,,0,boy groups
284,N.CUS,2019-08-27,,,1,boy groups
285,N.Flying,2015-05-20,295.0,N.Fia,1,boy groups
286,n.SSign,2023-08-09,,,1,boy groups
287,Nature,2018-08-03,,,1,girl groups
288,NCT,2016-04-09,720.0,NCTzen,1,boy groups
289,NeonPunch,2018-06-27,,,0,girl groups
290,NewJeans,2022-07-22,33.0,Bunnies,1,girl groups
291,Newkidd,2019-04-25,409.0,,1,boy groups
292,NINE.i,2022-03-30,286.0,,1,boy groups
293,NMIXX,2022-02-22,439.0,NSWER,1,girl groups
294,Noir,2018-04-09,,,1,boy groups
295,N-Sonic,2011-10-05,,,0,boy groups
296,NTB,2018-05-28,,,1,boy groups
297,N-Train,2011-05-27,,,0,boy groups
298,NU'EST,2012-03-15,643.0,LOΛΕ,1,boy groups
299,O21,2016-06-21,,,0,girl groups
300,OFF THE CUFF,2020-04-02,,,0,boy groups
301,Oh My Girl,2015-04-21,891.0,Miracle,1,girl groups
302,OhBliss,2016-10-17,428.0,,1,girl groups
303,ONE PACT,2023-11-30,,,1,boy groups
304,Oneus,2019-01-09,663.0,,1,boy groups
305,ONF,2017-08-02,891.0,,1,boy groups
306,OnlyOneOf,2019-05-28,,,1,boy groups
307,P.O.P,2017-07-26,,,0,girl groups
308,P1Harmony,2020-10-28,295.0,,1,boy groups
309,PENTAGON,2016-10-10,188.0,,1,boy groups
310,Phantom,2011-11-25,,,0,boy groups
311,Pink Fantasy,2018-10-28,,,1,girl groups
312,PIXY,2021-02-24,42.0,Winxy,1,girl groups
313,Playback,2015-06-25,176.0,,0,girl groups
314,POW,2023-10-11,330.0,POWER,1,boy groups
315,Precious,2020-09-23,842.0,,1,girl groups
316,PRIMROSE,2023-03-13,55.0,,1,girl groups
317,PRISMA,2020-10-31,1125.0,,1,girl groups
318,Pristin,2017-03-21,643.0,,0,girl groups
319,PRITTI-G,2021-08-31,259.0,,1,girl groups
320,Pungdeng-E,2013-12-11,,,0,girl groups
321,Purple Kiss,2021-03-15,663.0,,1,girl groups
322,PURPLEBECK,2019-06-24,507.0,Beckies,1,girl groups
323,Queenz Eye,2022-10-24,105.0,,1,girl groups
324,Rainbow,2009-11-12,,,0,girl groups
325,RAINZ,2017-10-12,,Rainzer,0,boy groups
326,Rania,2011-04-06,,,0,girl groups
327,Red Velvet,2014-08-01,720.0,,1,girl groups
328,REDSQUARE,2020-05-19,29.0,,1,girl groups
329,RIIZE,2023-09-04,720.0,,1,boy groups
330,Road Boyz,2015-11-17,,,0,boy groups
331,Rocket Punch,2019-08-07,893.0,,1,girl groups
332,Rockit Girl,2019-05-30,,,1,girl groups
333,ROMEO,2015-11-04,,,1,boy groups
334,Rose Finger,2018-10-03,,,0,girl groups
335,Rubber Soul,2015-02-10,343.0,,0,girl groups
336,Rumble-G,2021-07-14,885.0,,1,girl groups
337,S.E.S,1997-11-01,720.0,,0,girl groups
338,S.I.S,2017-08-25,,,1,girl groups
339,Saturday,2018-07-18,694.0,,1,girl groups
340,SECHSKIES,1997-04-15,,Yellowkies,1,boy groups
341,SECRET,2009-10-13,837.0,Secret Time,0,girl groups
342,SECRET NUMBER,2020-05-19,860.0,,1,girl groups
343,Seven O'Clock,2017-03-16,756.0,,0,boy groups
344,Seventeen,2015-05-26,643.0,Carat,1,boy groups
345,SF9,2016-10-05,295.0,Fantasy,1,boy groups
346,SG Wannabe,2004-01-20,83.0,,1,boy groups
347,Sha Sha,2018-02-27,,,0,girl groups
348,SHINee,2008-05-25,720.0,Shawol,1,boy groups
349,Shinhwa,1998-03-24,720.0,Shinhwa Changjo,1,boy groups
350,SIGMA,2021-01-26,1028.0,,1,boy groups
351,Signal,2019-08-28,410.0,,1,boy groups
352,SISTAR,2010-03-06,760.0,STAR1,0,girl groups
353,SKYE,2017-10-26,,,1,boy groups
354,SKYLE,2021-08-04,325.0,,1,girl groups
355,Snuper,2015-11-16,881.0,Swing,0,boy groups
356,Solia,2021-08-17,,,0,girl groups
357,Sonamoo,2014-12-29,837.0,Solbangul,0,girl groups
358,Spectrum,2018-05-09,897.0,,0,boy groups
359,Speed,2013-01-15,524.0,,0,boy groups
360,SPICA,2012-02-07,160.0,Mercury,0,girl groups
361,SS501,2005-06-08,,Triple S,0,boy groups
362,STAYC,2020-11-12,,,1,girl groups
363,Stellar,2011-08-28,,Twinkle,0,girl groups
364,Stray Kids,2018-03-25,439.0,STAY,1,boy groups
365,Sunny Hill,2007-09-20,,,0,girl groups
366,Super Junior,2005-11-06,720.0,ELF,1,boy groups
367,SUPERKIND,2022-06-20,208.0,Players,1,boy groups
368,SuperM,2019-10-04,720.0,,1,boy groups
369,Supernova,2007-09-21,160.0,,1,boy groups
370,Tahiti,2012-06-23,,,0,girl groups
371,T-ara,2009-07-29,524.0,QUEEN'S,0,girl groups
372,Target,2018-01-23,,,1,boy groups
373,Teen Top,2010-07-09,827.0,Angel,1,boy groups
374,TEMPEST,2022-03-02,,iE,1,boy groups
375,TFN,2021-01-11,538.0,,1,boy groups
376,The Boyz,2017-12-31,180.0,,1,boy groups
377,The Eastlight,2016-11-03,,,0,boy groups
378,The Grace,2005-04-29,720.0,,0,girl groups
379,The Legend,2014-07-09,738.0,,0,boy groups
380,THE MAN BLK,2018-11-15,,,1,boy groups
381,The Wind,2023-05-15,887.0,,1,boy groups
382,Tiny-G,2012-08-23,,,0,girl groups
383,TNX,2022-05-17,620.0,THX,1,boy groups
384,TOO,2020-04-01,,,1,boy groups
385,ToppDogg,2013-10-22,750.0,ToppKlass,0,boy groups
386,TRACER,2022-04-03,312.0,,1,girl groups
387,TRAX,2004-07-20,720.0,,0,boy groups
388,TRCNG,2017-10-10,837.0,,0,boy groups
389,Treasure,2020-08-07,909.0,,1,boy groups
390,TREI,2019-02-19,91.0,,0,boy groups
391,TRENDZ,2022-01-05,397.0,,1,boy groups
392,TRENDZ,2022-01-05,398.0,,1,boy groups
393,TRI.BE,2021-02-17,,1,1,girl groups
394,tripleS,2023-02-13,544.0,,1,girl groups
395,TST,2017-01-04,,,1,boy groups
396,Turbo,1995-09-06,524.0,,0,boy groups
397,TVXQ!,2003-12-26,720.0,Cassiopeia,1,boy groups
398,TWICE,2015-10-20,439.0,Once,1,girl groups
399,Two X,2012-08-20,413.0,,0,girl groups
400,TWS,2024-01-22,643.0,,1,boy groups
401,TXT,2019-03-04,,,1,boy groups
402,U-KISS,2008-08-28,586.0,Kissme,1,boy groups
403,UNB,2018-04-07,,,0,boy groups
404,Uni.T,2018-05-18,,,0,girl groups
405,Unicorn,2015-09-03,,,0,girl groups
406,UNIQ,2014-10-20,,Unicorn,0,boy groups
407,UNVS,2020-02-23,,,1,boy groups
408,UP10TION,2015-09-10,827.0,HONEY10,1,boy groups
409,VANNER,2019-02-14,863.0,,1,boy groups
410,Varsity,2017-01-05,,,1,boy groups
411,VAV,2015-10-31,21.0,,1,boy groups
412,Verivery,2019-09-01,420.0,,1,boy groups
413,VERMUDA,2017-07-13,,,1,boy groups
414,VICTON,2016-11-09,639.0,Alice,1,boy groups
415,VIVIZ,2022-02-09,,,1,girl groups
416,VIXX,2012-05-24,420.0,Starlight,1,boy groups
417,VOISPER,2016-02-23,,,1,boy groups
418,VROMANCE,2016-06-12,663.0,,1,boy groups
419,Wable,2016-02-17,,,1,girl groups
420,Wanna One,2017-08-07,914.0,Wannable,0,boy groups
421,Wanna.B,2014-11-17,,Ru.B,0,girl groups
422,Wassup,2013-08-07,,,0,girl groups
423,We Girls,2018-08-31,,,1,girl groups
424,We In The Zone,2019-05-27,154.0,,0,boy groups
425,WE:A,2023-03-29,,,1,boy groups
426,We;Na,2022-09-05,,mymean,1,girl groups
427,Weeekly,2020-07-30,641.0,,1,girl groups
428,Wei,2020-10-05,616.0,,1,boy groups
429,Weki Meki,2017-08-08,277.0,,1,girl groups
430,WEUS,2023-04-03,878.0,,1,boy groups
431,WINNER,2014-08-12,909.0,Ace,1,boy groups
432,WJSN,2016-02-25,760.0,Ujung,1,girl groups
433,Wonder Girls,2007-02-13,439.0,Wonderful,0,girl groups
434,woo!ah!,2020-05-15,,,1,girl groups
435,WOW,2021-03-08,,,1,boy groups
436,X:IN,2023-04-11,262.0,,1,girl groups
437,Xdinary Heroes,2021-12-06,439.0,,1,boy groups
438,XEED,2022-12-01,572.0,GREENY,1,boy groups
439,XENEX,2020-02-26,,,1,boy groups
440,xikers,2023-03-30,,,1,boy groups
441,XODIAC,2023-03-25,1085.0,,1,boy groups
442,XUM,2020-09-22,,AWEXUM,0,girl groups
443,Yellow Bee,2017-11-23,,,0,girl groups
444,YOUNG POSSE,2023-10-18,,,1,girl groups
445,YOUNITE,2022-04-20,,YOUNIZ,1,boy groups
446,ZE:A,2010-01-07,743.0,ZE:A Style,0,boy groups
447,ZEROBASEONE,2023-07-10,,,1,boy groups
